gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,che,dlc,ebit,lct,revt,costat,mkvalt,gsector
001072,20080331,2007,INDL,C,D,STD,AVX,USD,2109.0780,663.6540,0.0000,163.9360,220.5160,1619.2750,I,2191.3555,45
001072,20090331,2008,INDL,C,D,STD,AVX,USD,1872.5290,546.7230,0.0000,109.5200,149.4020,1389.6130,I,1547.0867,45
001072,20100331,2009,INDL,C,D,STD,AVX,USD,2051.4920,688.4500,0.0000,169.0710,193.2730,1304.9660,I,2415.0508,45
001072,20110331,2010,INDL,C,D,STD,AVX,USD,2319.4820,781.0110,0.0000,333.4990,235.6650,1653.1760,I,2536.8172,45
001072,20120331,2011,INDL,C,D,STD,AVX,USD,2468.0120,813.4170,0.0000,275.5510,297.0730,1545.2540,I,2248.9093,45
001072,20130331,2012,INDL,C,D,STD,AVX,USD,2601.9950,1047.0880,0.0000,146.4050,330.8770,1414.4000,I,2006.7327,45
001072,20140331,2013,INDL,C,D,STD,AVX,USD,2384.9880,874.2890,0.0000,159.1640,161.9340,1442.6040,I,2217.1528,45
001072,20150331,2014,INDL,C,D,STD,AVX,USD,2459.0150,843.5060,0.0000,212.7490,266.3090,1353.2280,I,2400.0713,45
001072,20160331,2015,INDL,C,D,STD,AVX,USD,2409.8190,948.8020,0.0000,169.3020,180.3020,1195.5290,I,2105.3744,45
001072,20170331,2016,INDL,C,D,STD,AVX,USD,2477.4130,1107.3820,0.0000,202.0470,216.0670,1312.6610,I,2750.6934,45
001072,20180331,2017,INDL,C,D,STD,AVX,USD,2672.7660,827.2020,0.0000,182.5340,294.5630,1562.4740,I,2787.5827,45
001072,20190331,2018,INDL,C,D,STD,AVX,USD,2813.2780,813.2100,0.0000,314.0790,313.1850,1791.7900,I,2927.4428,45
001075,20021231,2002,INDL,C,D,STD,PNW,USD,8425.8060,77.7070,383.2060,516.0470,1055.1150,2637.2790,A,3110.8830,55
001075,20031231,2003,INDL,C,D,STD,PNW,USD,9536.3780,228.7790,511.5610,482.0530,1150.9740,2817.8520,A,3653.3458,55
001075,20041231,2004,INDL,C,D,STD,PNW,USD,9896.7470,344.5410,688.1950,506.2590,1625.8960,2899.7250,A,4076.5271,55
001075,20051231,2005,INDL,C,D,STD,PNW,USD,11322.6450,154.0030,400.6200,653.8510,2272.0730,2987.9550,A,4096.0070,55
001075,20061231,2006,INDL,C,D,STD,PNW,USD,11455.9430,87.2100,37.3460,618.8700,1458.5600,3401.7480,A,5066.9217,55
001075,20071231,2007,INDL,C,D,STD,PNW,USD,11243.7120,56.3210,504.4340,619.2510,1384.9670,3523.6200,A,4261.6113,55
001075,20081231,2008,INDL,C,D,STD,PNW,USD,11620.0930,105.2450,848.1150,530.5460,1505.9280,3367.0760,A,3241.5314,55
001075,20091231,2009,INDL,C,D,STD,PNW,USD,11808.1550,145.3780,431.4080,580.2260,1083.1600,3297.1010,A,3710.4923,55
